Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,69.8,70.375,68.52,69.106,603616,0
2017-01-04,69.513,71.784,69.123,71.714,980224,0
2017-01-05,72.062,73.043,71.764,72.984,1323877,0
2017-01-06,73.341,74.115,72.925,74.045,1058506,0
2017-01-09,73.648,73.688,72.747,73.043,715142,0
2017-01-10,73.391,74.035,72.8,73.816,592405,0
2017-01-11,73.798,74.322,73.271,74.282,900074,0
2017-01-12,73.816,73.816,72.131,73.211,501744,0
2017-01-13,73.816,74.541,73.341,73.768,465197,0
2017-01-17,73.123,73.321,71.367,71.535,425287,0
2017-01-18,71.685,72.27,70.157,72.23,762125,0
2017-01-19,72.448,72.746,71.323,71.615,314588,0
2017-01-20,71.615,72.14,71.367,72.101,334911,0
2017-01-23,71.515,72.438,71.407,72.329,402462,0
2017-01-24,72.487,74.015,72.359,73.638,688638,0
2017-01-25,74.62,75.046,74.075,74.987,864862,0
2017-01-26,74.005,77.15,74.005,76.523,961007,0
2017-01-27,76.733,76.803,74.967,75.363,914377,0
2017-01-30,75.036,75.066,73.341,74.938,712523,0
2017-01-31,74.699,75.096,73.489,74.312,687553,0
2017-02-01,75.205,76.266,74.432,74.858,580111,0
2017-02-02,73.886,74.62,73.23,73.816,787041,0
2017-02-03,74.779,76.088,74.6,75.721,511073,0
2017-02-06,75.195,76.201,75.156,75.939,503390,0
2017-02-07,76.326,76.613,75.889,76.266,756086,0
2017-02-08,75.75,75.899,74.709,75.82,544268,0
2017-02-09,76.316,77.1,75.979,76.91,416290,0
2017-02-10,77.357,77.357,76.246,76.266,414574,0
2017-02-13,76.842,77.437,76.793,76.94,533219,0
2017-02-14,76.643,77.992,76.455,77.625,889605,0
2017-02-15,78.121,78.567,77.546,78.408,352832,0
2017-02-16,78.617,78.617,77.764,78.418,523853,0
2017-02-17,77.517,78.289,77.267,78.21,406818,0
2017-02-21,78.508,78.766,78.151,78.587,505081,0
2017-02-22,78.012,79.39,78.012,78.994,565069,0
2017-02-23,78.934,78.934,77.654,77.883,629507,0
2017-02-24,76.93,78.121,76.93,77.844,549442,0
2017-02-27,77.854,78.776,77.397,78.756,403976,0
2017-02-28,78.498,78.547,76.95,77.912,685387,0
2017-03-01,79.153,81.24,79.153,80.372,869808,0
2017-03-02,80.462,80.462,78.746,78.855,527118,0
2017-03-03,78.815,79.43,78.289,79.133,378558,0
2017-03-06,78.448,79.006,78.041,78.518,461304,0
2017-03-07,78.478,78.666,77.794,78.041,485805,0
2017-03-08,79.182,79.44,77.992,78.022,430648,0
2017-03-09,78.408,78.964,78.111,78.567,418882,0
2017-03-10,78.498,79.053,77.714,78.646,506294,0
2017-03-13,79.49,79.728,78.299,78.418,1622051,0
2017-03-14,78.181,78.23,76.643,77.585,848362,0
2017-03-15,77.912,78.061,76.098,76.573,1669442,0
2017-03-16,76.96,77.804,76.553,77.267,1401424,0
2017-03-17,77.13,77.387,76.494,77.257,23236530,0
2017-03-20,77.257,77.883,76.366,77.01,1901743,0
2017-03-21,77.238,77.238,73.093,73.301,1280200,0
2017-03-22,72.647,74.134,72.111,73.698,1075330,0
2017-03-23,73.588,74.987,73.559,74.233,1088600,0
2017-03-24,74.402,74.888,73.519,74.065,893225,0
2017-03-27,72.26,73.221,71.535,73.152,1014545,0
2017-03-28,72.984,74.967,72.984,74.492,656720,0
2017-03-29,74.452,74.531,73.628,74.322,600342,0
2017-03-30,74.352,75.716,74.352,75.686,586841,0
2017-03-31,75.576,76.352,75.278,75.854,955095,0
2017-04-03,75.884,76.152,74.67,75.854,1169714,0
2017-04-04,75.606,76.142,75.248,75.516,737377,0
2017-04-05,76.192,76.402,74.014,74.114,900467,0
2017-04-06,74.253,75.536,73.477,75.238,648982,0
2017-04-07,74.67,75.834,74.233,75.416,896630,0
2017-04-10,75.338,75.814,74.302,74.959,536600,0
2017-04-11,74.402,74.66,73.328,74.352,827054,0
2017-04-12,74.302,74.452,73.159,73.368,795699,0
2017-04-13,72.87,73.676,72.214,72.234,977571,0
2017-04-17,72.482,73.398,71.955,73.328,455285,0
2017-04-18,72.671,73.586,71.796,72.681,651831,0
2017-04-19,73.418,73.87,72.323,72.433,1476308,0
2017-04-20,73.059,73.894,72.104,73.766,1343240,0
2017-04-21,73.606,74.094,72.502,72.82,685346,0
2017-04-24,74.74,75.058,74.322,74.68,755216,0
2017-04-25,75.486,75.596,74.69,74.79,563788,0
2017-04-26,74.82,75.854,74.651,75.338,726741,0
2017-04-27,75.406,76.352,73.129,74.502,1295126,0
2017-04-28,74.452,74.601,73.726,74.124,940916,0
2017-05-01,74.601,75.288,73.944,74.552,631297,0
2017-05-02,74.91,75.724,74.8,75.426,848088,0
2017-05-03,75.148,76.093,74.94,76.044,564849,0
2017-05-04,76.64,76.978,75.586,76.004,623534,0
2017-05-05,76.332,76.481,75.258,75.596,676649,0
2017-05-08,75.606,75.696,74.63,75.228,497170,0
2017-05-09,75.347,75.874,74.93,75.118,516558,0
2017-05-10,74.959,75.178,74.402,75.108,411400,0
2017-05-11,74.8,75.028,73.616,74.552,556752,0
2017-05-12,73.994,74.392,73.517,74.014,643862,0
2017-05-15,74.402,75.426,74.014,75.308,914069,0
2017-05-16,75.416,76.402,75.308,76.392,582429,0
2017-05-17,74.969,75.028,71.214,71.398,1319289,0
2017-05-18,71.348,72.542,71,71.816,1145339,0
2017-05-19,72.074,73.149,71.667,72.622,568772,0
2017-05-22,73.119,73.119,72.045,72.781,628159,0
2017-05-23,72.353,73.119,71.159,72.92,717186,0
2017-05-24,72.89,73.159,71.925,72.462,566460,0
2017-05-25,72.96,73.596,72.552,73.248,436941,0
2017-05-26,73.039,73.427,72.741,73.288,538120,0
2017-05-30,72.771,73.059,72.045,72.612,420105,0
2017-05-31,72.661,72.661,70.971,71.886,952773,0
2017-06-01,72.452,73.427,71.697,73.418,887278,0
2017-06-02,72.781,73.338,72.273,72.94,570374,0
2017-06-05,73.109,74.064,73,73.398,434204,0
2017-06-06,72.572,73.517,72.174,73.198,754158,0
2017-06-07,73.497,73.964,72.91,73.566,571939,0
2017-06-08,73.566,76.137,73.427,75.676,1083102,0
2017-06-09,76.402,78.192,76.402,77.874,770517,0
2017-06-12,77.963,78.998,77.684,78.311,942902,0
2017-06-13,78.669,79.127,77.933,78.49,715014,0
2017-06-14,77.704,78.57,76.78,78.52,598033,0
2017-06-15,77.844,78.779,77.794,78.212,371572,0
2017-06-16,78.252,78.55,77.605,78.052,864625,0
2017-06-19,78.53,78.968,78.072,78.639,808875,0
2017-06-20,78.45,78.45,77.585,77.734,528401,0
2017-06-21,77.754,77.973,77.108,77.266,792567,0
2017-06-22,76.908,77.038,76.182,76.78,432260,0
2017-06-23,77.306,77.306,76.014,76.212,1843284,0
2017-06-26,76.451,77.386,75.989,77.078,570522,0
2017-06-27,77.565,78.898,77.536,78.222,663727,0
2017-06-28,78.948,80.509,78.724,80.281,1056963,0
2017-06-29,81.697,82.375,79.612,80.291,876759,0
2017-06-30,80.869,81.048,79.612,80.011,711888,0
2017-07-03,80.67,81.787,80.181,81.388,344244,0
2017-07-05,81.487,81.767,81.039,81.318,722209,0
2017-07-06,81.268,82.226,80.749,80.799,760593,0
2017-07-07,81.178,81.458,80.46,81.178,472399,0
2017-07-10,81.098,82.395,80.63,82.186,577074,0
2017-07-11,82.285,82.285,81.288,81.557,443773,0
2017-07-12,81.388,82.156,80.909,82.026,439466,0
2017-07-13,82.285,82.774,81.946,82.315,361639,0
2017-07-14,81.328,82.535,80.919,82.086,431178,0
2017-07-17,82.126,82.804,81.754,82.555,408632,0
2017-07-18,82.036,82.555,81.667,82.445,798748,0
2017-07-19,82.864,82.914,81.956,82.555,396830,0
2017-07-20,82.555,83.004,82.425,82.515,463768,0
2017-07-21,82.305,83.183,82.236,82.505,447200,0
2017-07-24,82.415,83.811,82.415,83.632,540173,0
2017-07-25,84.729,85.188,84.37,84.769,692108,0
2017-07-26,85.138,85.746,84.799,85.148,880320,0
2017-07-27,84.141,84.17,81.009,82.515,1749317,0
2017-07-28,82.405,83.033,82.245,82.674,484990,0
2017-07-31,83.043,83.123,82.605,82.974,532434,0
2017-08-01,83.602,83.811,82.774,83.223,659473,0
2017-08-02,83.023,83.392,82.079,82.585,595006,0
2017-08-03,82.595,82.595,81.847,82.166,608392,0
2017-08-04,82.924,83.477,82.375,82.684,612226,0
2017-08-07,82.664,82.924,82.265,82.664,364401,0
2017-08-08,82.345,83.532,82.345,82.664,391014,0
2017-08-09,82.036,82.186,81.288,81.707,653658,0
2017-08-10,81.388,81.418,79.582,79.642,536753,0
2017-08-11,79.513,80.181,78.944,79.144,522233,0
2017-08-14,80.061,80.899,79.961,80.011,455760,0
2017-08-15,80.869,80.979,79.712,80.131,467269,0
2017-08-16,80.42,80.65,79.533,79.712,322994,0
2017-08-17,79.124,79.572,77.518,77.548,600789,0
2017-08-18,77.298,78.276,76.959,77.647,796233,0
2017-08-21,77.697,77.787,77.119,77.518,446141,0
2017-08-22,77.847,78.854,77.767,78.794,450618,0
2017-08-23,78.236,79.313,78.236,78.804,326784,0
2017-08-24,79.074,79.373,78.559,78.585,641977,0
2017-08-25,79.014,79.323,78.356,78.545,421542,0
