Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,0.7147,0.753,0.71,0.73,261334,0
2017-01-04,0.74,0.78,0.74,0.77,329678,0
2017-01-05,0.77,0.8,0.76,0.7601,220256,0
2017-01-06,0.75,0.76,0.74,0.75,121359,0
2017-01-09,0.75,0.75,0.72,0.7431,114731,0
2017-01-10,0.73,0.746,0.72,0.7422,212484,0
2017-01-11,0.75,0.7733,0.73,0.75,122408,0
2017-01-12,0.7538,0.78,0.731,0.76,111307,0
2017-01-13,0.732,0.765,0.73,0.7493,82075,0
2017-01-17,0.75,0.77,0.71,0.718,272918,0
2017-01-18,0.72,0.7497,0.7005,0.71,384676,0
2017-01-19,0.725,0.7399,0.6905,0.7,152450,0
2017-01-20,0.72,0.73,0.68,0.69,211913,0
2017-01-23,0.6942,0.7275,0.67,0.67,157599,0
2017-01-24,0.7,0.7275,0.67,0.71,273429,0
2017-01-25,0.71,0.745,0.7,0.725,200051,0
2017-01-26,0.7124,0.75,0.7124,0.725,176224,0
2017-01-27,0.7296,0.74,0.7124,0.74,108515,0
2017-01-30,0.755,0.82,0.75,0.8,845087,0
2017-01-31,0.93,0.93,0.81,0.83,1046507,0
2017-02-01,0.8735,0.8735,0.81,0.855,338991,0
2017-02-02,0.83,0.85,0.73,0.7725,627463,0
2017-02-03,0.79,0.79,0.732,0.7601,277950,0
2017-02-06,0.76,0.76,0.73,0.7301,360822,0
2017-02-07,0.7357,0.737,0.7,0.72,389370,0
2017-02-08,0.72,0.7397,0.7,0.702,266451,0
2017-02-09,0.702,0.76,0.702,0.738,278649,0
2017-02-10,0.73,0.75,0.7,0.75,439647,0
2017-02-13,0.75,0.75515,0.73,0.73,297435,0
2017-02-14,0.748,0.79,0.7301,0.77,305701,0
2017-02-15,0.79,0.83,0.7632,0.8,529697,0
2017-02-16,0.8,0.805,0.7698,0.785,337771,0
2017-02-17,0.8,0.8032,0.77,0.8,204711,0
2017-02-21,0.8,0.85,0.77,0.77,481240,0
2017-02-22,0.77,0.79,0.74,0.7824,191485,0
2017-02-23,0.785,0.795,0.751,0.789,143305,0
