Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,61.168,61.168,58.387,59.817,727598,0
2017-01-04,60.012,61.776,60.012,61.012,550253,0
2017-01-05,61.159,61.51,58.818,58.955,593009,0
2017-01-06,58.955,59.845,58.397,59.082,567875,0
2017-01-09,58.896,58.896,57.535,57.769,556369,0
2017-01-10,58.043,58.833,57.554,58.103,608487,0
2017-01-11,58.152,58.574,57.652,58.113,456879,0
2017-01-12,56.634,56.673,54.294,55.841,1069873,0
2017-01-13,56.291,57.388,56.046,56.526,655506,0
2017-01-17,56.399,56.433,55.292,55.498,295701,0
2017-01-18,55.576,56.056,55.214,56.026,701460,0
2017-01-19,57.368,58.788,56.644,57.898,1201513,0
2017-01-20,58.063,58.24,56.8,58.22,851756,0
2017-01-23,58.073,58.73,57.554,57.966,490559,0
2017-01-24,58.337,58.945,57.779,58.611,594262,0
2017-01-25,59.004,60.238,58.778,60.002,461790,0
2017-01-26,59.798,60.678,59.141,59.18,229709,0
2017-01-27,59.288,59.444,58.143,58.671,334807,0
2017-01-30,57.946,58.133,56.849,58.035,395474,0
2017-01-31,58.025,58.025,56.125,56.625,942635,0
2017-02-01,57.143,57.726,56.281,57.31,573393,0
2017-02-02,57.066,57.066,55.772,56.271,634989,0
2017-02-03,56.595,57.632,56.271,57.388,406925,0
2017-02-06,57.006,57.525,56.27,57.026,480549,0
2017-02-07,57.026,57.642,56.545,56.732,273972,0
2017-02-08,56.252,56.468,55.401,56.144,467832,0
2017-02-09,56.428,57.32,56.076,56.839,246467,0
2017-02-10,57.378,57.809,57.133,57.457,327019,0
2017-02-13,57.672,58.524,57.173,57.407,276510,0
2017-02-14,56.986,57.652,56.869,57.535,272324,0
2017-02-15,57.34,58.309,57.34,58.143,202867,0
2017-02-16,58.143,58.357,57.231,57.515,168075,0
2017-02-17,57.212,58.681,56.996,58.347,437607,0
2017-02-21,58.593,58.641,57.26,57.477,263346,0
2017-02-22,57.084,57.799,56.8,57.24,251500,0
2017-02-23,57.515,57.554,56.164,57.084,423719,0
2017-02-24,56.105,57.839,55.684,57.544,339107,0
2017-02-27,57.574,59.023,57.397,58.534,428952,0
2017-02-28,58.29,58.607,56.859,56.879,473497,0
2017-03-01,57.976,59.542,57.976,58.387,486780,0
2017-03-02,58.22,58.347,56.877,57.163,361799,0
2017-03-03,57.026,57.848,56.956,57.769,357142,0
2017-03-06,57.24,57.819,56.965,57.594,241836,0
2017-03-07,57.417,57.844,57.056,57.153,342214,0
2017-03-08,57.389,58.06,57.37,57.439,336477,0
2017-03-09,57.311,57.715,56.601,56.897,308720,0
2017-03-10,57.271,57.784,57.074,57.656,264068,0
2017-03-13,57.745,58.574,57.597,58.416,217177,0
2017-03-14,58.06,58.336,57.183,58.06,287452,0
2017-03-15,58.603,59.471,58.416,58.751,524722,0
2017-03-16,59.076,59.086,57.814,58.594,329485,0
2017-03-17,58.879,59.717,58.307,59.234,1022124,0
2017-03-20,59.057,59.224,57.937,58.169,399907,0
2017-03-21,58.484,58.534,56.473,56.699,330248,0
2017-03-22,56.383,57.232,55.969,56.729,394125,0
2017-03-23,56.779,57.952,56.481,57.617,289791,0
2017-03-24,57.834,58.179,56.847,57.173,216464,0
2017-03-27,55.89,56.887,55.802,56.719,170139,0
2017-03-28,56.64,58.632,56.285,58.534,244532,0
2017-03-29,58.386,59.047,57.745,58.722,291732,0
2017-03-30,58.77,60.053,58.77,59.915,248563,0
2017-03-31,59.659,60.684,58.82,60.131,377316,0
2017-04-03,60.389,60.832,58.426,59.481,415484,0
2017-04-04,59.343,60.023,59.086,59.521,240124,0
2017-04-05,60.289,61.296,59.817,59.915,484484,0
2017-04-06,59.975,61.355,59.717,61.118,360731,0
2017-04-07,61.02,61.592,60.625,61.02,325730,0
2017-04-10,61.217,61.957,60.813,61.404,217763,0
2017-04-11,61.404,61.7,60.773,61.67,204341,0
2017-04-12,61.365,61.365,59.195,59.284,244707,0
2017-04-13,59.096,59.777,58.288,58.307,325420,0
2017-04-17,58.722,59.501,58.001,59.264,312335,0
2017-04-18,58.79,59.057,58.07,58.87,288013,0
2017-04-19,59.185,59.707,58.82,59.353,426465,0
2017-04-20,60.96,63.003,59.511,61.236,585761,0
2017-04-21,61.414,61.592,60.309,60.339,418487,0
2017-04-24,61.504,61.651,60.408,60.447,306519,0
2017-04-25,60.822,61.424,60.161,60.28,334110,0
2017-04-26,60.083,61.049,59.522,60.113,318137,0
2017-04-27,60.141,60.527,59.53,59.855,216736,0
2017-04-28,59.885,59.965,59.017,59.086,227537,0
2017-05-01,59.274,59.274,58.268,58.514,283917,0
2017-05-02,58.574,59.264,58.12,58.474,273402,0
2017-05-03,58.248,58.732,57.874,58.702,333175,0
2017-05-04,58.82,59.057,58.15,58.386,348049,0
2017-05-05,58.524,59.195,58.406,59.057,426595,0
2017-05-08,59.057,59.363,58.474,59.096,144609,0
2017-05-09,59.185,59.471,58.278,58.474,217633,0
2017-05-10,58.594,59.037,58.011,58.682,170386,0
2017-05-11,58.436,58.958,57.705,58.484,247674,0
2017-05-12,58.218,58.455,57.557,57.804,211550,0
2017-05-15,58.208,58.61,57.893,58.188,216353,0
2017-05-16,58.326,58.326,57.469,58.13,191479,0
2017-05-17,57.38,57.992,56.492,56.749,340910,0
2017-05-18,56.413,57.36,55.979,56.621,244826,0
2017-05-19,56.837,59.224,56.837,58.436,243026,0
2017-05-22,58.83,59.762,58.15,59.53,288809,0
2017-05-23,59.817,60.911,59.402,60.793,270376,0
2017-05-24,60.882,61.089,59.741,60.191,305375,0
2017-05-25,60.369,60.62,59.698,59.975,125053,0
2017-05-26,59.885,59.905,58.77,59.057,196488,0
2017-05-30,58.81,59.047,58.268,58.514,167685,0
2017-05-31,58.594,58.879,57.212,58.672,286678,0
2017-06-01,58.938,60.625,58.474,60.595,241643,0
2017-06-02,60.625,61.966,60.161,61.365,256066,0
2017-06-05,61.246,61.552,60.675,60.714,186752,0
2017-06-06,60.122,60.507,59.333,60.053,115719,0
2017-06-07,60.073,60.477,59.303,59.727,195186,0
2017-06-08,59.757,62.036,59.679,61.532,187186,0
2017-06-09,61.632,62.48,61.525,61.848,350624,0
2017-06-12,62.006,65.182,61.818,64.018,440704,0
2017-06-13,64.088,65.825,63.363,65.071,327760,0
2017-06-14,65.101,65.289,63.805,64.187,296250,0
2017-06-15,63.373,65.2,63.353,64.247,328947,0
2017-06-16,63.86,64.644,63.8,64.425,465095,0
2017-06-19,65.021,65.314,64.157,64.674,194621,0
2017-06-20,64.128,64.763,62.877,63.274,177638,0
2017-06-21,63.413,63.502,61.03,61.149,415098,0
2017-06-22,61.189,61.854,60.742,61.526,378849,0
2017-06-23,61.586,62.718,61.04,62.539,441990,0
2017-06-26,62.877,63.601,62.529,63.224,309940,0
2017-06-27,63.343,63.671,62.4,62.44,280317,0
2017-06-28,63.085,64.128,62.847,63.482,371905,0
2017-06-29,63.78,63.83,62.331,63.492,236372,0
2017-06-30,63.721,64.197,62.956,63.81,241680,0
2017-07-03,64.316,65.071,63.79,64.713,150770,0
2017-07-05,64.763,64.838,62.966,63.383,245183,0
2017-07-06,63.075,63.492,62.142,62.311,187755,0
2017-07-07,62.519,63.055,61.735,62.936,185966,0
2017-07-10,62.718,63.179,62.266,62.321,214465,0
2017-07-11,62.311,62.38,61.407,61.963,199783,0
2017-07-12,62.251,63.085,61.447,61.596,233698,0
2017-07-13,61.735,61.814,60.712,61.258,157627,0
2017-07-14,61.209,62.112,61.01,61.358,164952,0
2017-07-17,63.184,64.793,62.44,62.628,355775,0
2017-07-18,62.509,62.767,60.633,61.844,312540,0
2017-07-19,61.884,63.065,61.427,62.728,271465,0
2017-07-20,63.542,63.542,62.112,62.43,275098,0
2017-07-21,62.787,62.837,60.563,61.417,316250,0
2017-07-24,61.477,62.281,61.407,62.072,252441,0
2017-07-25,62.549,63.234,62.107,62.48,389390,0
2017-07-26,62.599,62.718,60.583,60.722,252577,0
2017-07-27,60.841,61.348,60.414,60.881,179874,0
2017-07-28,60.702,61.407,60.365,61.248,116730,0
2017-07-31,61.507,62.082,60.732,61.387,269113,0
2017-08-01,61.636,61.636,60.891,61.546,163780,0
2017-08-02,61.348,62.132,60.901,61.586,218959,0
2017-08-03,61.665,62.059,60.851,61.179,154051,0
2017-08-04,61.467,62.648,60.911,62.331,163696,0
2017-08-07,62.539,63.641,62.281,63.155,240534,0
2017-08-08,62.986,64.833,62.46,63.711,295117,0
2017-08-09,63.234,63.234,61.894,62.261,204969,0
2017-08-10,61.983,62.226,61.348,61.397,211834,0
2017-08-11,60.901,62.202,60.762,61.586,153863,0
