Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,28.35,28.42,27.1956,27.92,2121047,0
2017-01-04,27.59,29.89,27.52,29.24,2841519,0
2017-01-05,29.26,29.76,28.39,29.52,2266039,0
2017-01-06,29.77,31.16,29.25,30.08,3118570,0
2017-01-09,30.42,31.56,29.74,31.26,2655245,0
2017-01-10,31.44,39.36,27.84,37.89,14740646,0
2017-01-11,38.24,38.27,35.04,35.55,5416021,0
2017-01-12,35.92,37.35,35,36.73,3146624,0
2017-01-13,36.57,38.55,36.57,37.83,2528701,0
2017-01-17,37.5,37.5001,36.03,36.13,2093507,0
2017-01-18,36.27,36.92,35.7883,35.98,1654013,0
2017-01-19,36.04,36.23,34.02,34.23,2113249,0
2017-01-20,34.29,34.67,32.439,32.66,2137379,0
2017-01-23,32.55,32.63,31.22,31.41,1570340,0
2017-01-24,31.34,31.89,30.56,30.74,1960651,0
2017-01-25,30.74,31.39,29.88,30.25,1493236,0
2017-01-26,30.23,31.11,29.84,30.05,1226676,0
2017-01-27,30,31.0384,29.39,30.83,1799376,0
2017-01-30,30.62,30.62,28.75,28.97,2166808,0
2017-01-31,28.72,31.29,28.27,31.06,3717190,0
2017-02-01,30.51,30.8,28.58,29.11,3760296,0
2017-02-02,28.91,29.47,28.4,28.91,1678439,0
2017-02-03,29.15,29.36,28.82,29.33,1361351,0
2017-02-06,29.3,29.4011,28.62,29.07,1360541,0
2017-02-07,29.19,30.9,28.7445,29.17,3621458,0
2017-02-08,29.38,29.72,28.68,29.26,1369449,0
2017-02-09,29.5,29.82,28.61,29.34,2045327,0
2017-02-10,29.43,29.44,27.83,27.83,2028098,0
2017-02-13,27.81,27.85,26.26,27.67,3210813,0
2017-02-14,27.8,28.95,27.75,28.27,1813286,0
2017-02-15,28.48,28.83,27.6294,27.91,1574143,0
2017-02-16,27.93,28.35,26.96,27.97,1577369,0
2017-02-17,27.8,28.35,27.205,28.28,1247642,0
2017-02-21,28.88,29,28.08,28.68,2104128,0
2017-02-22,28.61,30.6,28.305,30.38,2880484,0
2017-02-23,30.6,31.29,29.6,30.15,2154050,0
2017-02-24,30.08,32.0892,29.7001,32.02,2888192,0
2017-02-27,32.06,32.82,31.22,32.71,2842491,0
2017-02-28,32.99,33.65,31,31.11,3012013,0
