Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,45.665,45.831,45.48,45.782,45337,0
2017-01-04,45.977,46.445,45.782,46.201,42597,0
2017-01-05,47.06,47.382,46.845,47.333,22754,0
2017-01-06,47.011,47.011,46.777,46.875,23575,0
2017-01-09,46.699,46.831,46.553,46.718,19925,0
2017-01-10,46.699,47.167,46.699,46.796,29465,0
2017-01-11,47.011,47.177,46.67,47.099,23849,0
2017-01-12,47.011,47.099,46.728,47.001,30014,0
2017-01-13,46.933,47.062,46.894,47.04,21951,0
2017-01-17,46.718,46.767,46.397,46.767,33276,0
2017-01-18,47.031,47.07,46.738,46.806,36616,0
2017-01-19,46.728,46.747,46.338,46.562,12580,0
2017-01-20,46.221,46.406,46.084,46.153,16658,0
2017-01-23,46.123,46.299,45.84,46.153,15716,0
2017-01-24,46.24,46.465,46.211,46.27,13608,0
2017-01-25,46.318,46.514,46.221,46.484,17091,0
2017-01-26,46.592,47.138,46.592,46.914,89981,0
2017-01-27,46.582,46.875,46.572,46.816,40142,0
2017-01-30,46.455,46.953,46.41,46.953,47663,0
2017-01-31,47.079,47.187,46.835,46.875,66288,0
2017-02-01,46.767,46.884,46.397,46.621,60185,0
2017-02-02,46.582,46.728,46.405,46.592,56315,0
2017-02-03,46.601,46.673,46.436,46.475,38038,0
2017-02-06,46.201,47.079,46.167,46.523,62055,0
2017-02-07,47.109,47.109,46.685,46.796,38247,0
2017-02-08,47.089,47.392,46.884,47.245,45207,0
2017-02-09,47.596,47.757,47.509,47.606,46930,0
2017-02-10,47.626,47.948,47.626,47.782,47459,0
2017-02-13,47.801,48.104,47.801,47.899,54502,0
2017-02-14,47.645,47.792,47.353,47.694,30588,0
2017-02-15,47.382,47.743,47.382,47.723,13568,0
2017-02-16,46.992,47.021,46.738,46.826,23996,0
2017-02-17,46.523,46.67,46.279,46.66,17379,0
2017-02-21,46.465,46.767,46.36,46.64,40698,0
2017-02-22,46.826,46.826,46.416,46.543,22714,0
2017-02-23,46.982,46.992,46.699,46.826,41267,0
2017-02-24,47.333,47.343,47.109,47.304,23781,0
2017-02-27,46.65,46.738,46.338,46.738,28743,0
2017-02-28,45.958,46.153,45.958,46.006,23567,0
2017-03-01,45.811,46.2,45.704,46.026,37421,0
2017-03-02,45.362,45.362,45.128,45.177,45340,0
2017-03-03,45.723,45.723,45.48,45.704,27275,0
2017-03-06,45.265,45.265,44.826,44.855,39763,0
2017-03-07,45.138,45.158,44.845,44.923,21830,0
2017-03-08,45.236,45.245,44.943,44.962,12253,0
2017-03-09,44.962,45.167,44.777,45.08,21273,0
2017-03-10,45.226,45.46,45.094,45.353,53835,0
2017-03-13,45.714,45.714,45.44,45.567,24110,0
2017-03-14,45.606,45.606,44.923,45.119,28131,0
2017-03-15,45.138,45.821,45.028,45.714,52000,0
2017-03-16,46.436,46.455,46.104,46.416,69014,0
2017-03-17,47.704,47.977,47.548,47.831,46270,0
2017-03-20,48.231,48.24,48.045,48.24,27826,0
2017-03-21,48.133,48.231,46.748,46.904,37917,0
2017-03-22,47.099,47.548,47.011,47.382,31967,0
2017-03-23,47.07,47.265,46.982,47.157,25422,0
2017-03-24,47.343,47.489,47.245,47.343,30223,0
2017-03-27,47.118,47.187,46.972,47.157,27134,0
2017-03-28,47.109,47.411,47.07,47.226,22977,0
2017-03-29,47.587,47.596,47.372,47.489,24964,0
2017-03-30,47.353,47.512,47.323,47.343,28525,0
2017-03-31,47.665,47.772,47.45,47.479,28742,0
2017-04-03,47.567,47.713,47.343,47.587,27856,0
2017-04-04,47.665,47.917,47.635,47.772,23800,0
