Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,65.217,66.3,64.943,65.324,85692,0
2017-01-04,65.881,67.247,65.373,66.221,87456,0
2017-01-05,66.221,66.221,64.317,64.748,88689,0
2017-01-06,64.679,64.679,63.46,63.771,68717,0
2017-01-09,63.908,64.572,62.131,63.107,98937,0
2017-01-10,63.254,64.523,62.844,64.113,57707,0
2017-01-11,64.26,64.26,63.288,63.898,66558,0
2017-01-12,63.879,64.28,61.985,63.01,55218,0
2017-01-13,63.069,65.616,62.422,65.108,79379,0
2017-01-17,64.817,66.125,63.811,64.25,102617,0
2017-01-18,64.582,64.582,62.795,63.537,52395,0
2017-01-19,63.41,64.143,62.033,62.717,58136,0
2017-01-20,62.483,62.892,61.459,62.053,50263,0
2017-01-23,61.936,62.376,61.126,61.379,34628,0
2017-01-24,61.086,61.263,57.113,57.621,233579,0
2017-01-25,58.217,59.974,57.396,59.154,691862,0
2017-01-26,59.046,60.012,58.684,58.988,76215,0
2017-01-27,58.998,58.998,57.279,57.855,33533,0
2017-01-30,57.757,57.962,56.86,57.162,56978,0
2017-01-31,57.201,58.294,56.928,58.031,33463,0
2017-02-01,58.148,58.441,57.073,57.406,34964,0
2017-02-02,57.708,58.031,57.122,57.718,41777,0
2017-02-03,58.314,59.364,57.941,58.949,37884,0
2017-02-06,58.744,58.744,56.928,57.182,35076,0
2017-02-07,57.426,57.572,56.84,57.308,55800,0
2017-02-08,57.221,58.548,56.751,58.138,104452,0
2017-02-09,58.05,60.591,58.05,59.609,129282,0
2017-02-10,59.689,60.419,59.071,59.59,60038,0
2017-02-13,59.963,59.963,58.384,58.727,45118,0
2017-02-14,58.482,58.834,58.275,58.805,119649,0
2017-02-15,58.815,60.935,58.777,60.895,73053,0
2017-02-16,60.876,61.317,60.248,60.494,45645,0
2017-02-17,60.071,60.788,60.003,60.258,45094,0
2017-02-21,60.514,61.195,59.924,60.258,58409,0
2017-02-22,60.905,65.007,60.905,64.389,222231,0
2017-02-23,64.399,64.899,61.583,62.995,769146,0
2017-02-24,62.348,64.448,61.886,63.574,70569,0
2017-02-27,63.074,63.554,61.65,61.886,71556,0
2017-02-28,61.818,61.818,58.797,58.874,101611,0
2017-03-01,59.6,59.6,58.089,58.384,104412,0
2017-03-02,58.394,59.179,57.892,58.972,87268,0
2017-03-03,59.09,59.09,57.892,58.992,75603,0
2017-03-06,58.59,58.59,57.462,57.599,74400,0
2017-03-07,57.412,58.344,56.95,57.05,55915,0
2017-03-08,57.432,57.658,56.686,57.068,61834,0
2017-03-09,57.206,57.206,55.224,55.361,55449,0
2017-03-10,55.764,59.983,54.301,57.815,104357,0
2017-03-13,57.678,58.57,57.471,57.785,58189,0
2017-03-14,57.668,57.668,56.912,57.432,34140,0
2017-03-15,57.382,58.354,56.95,57.972,64034,0
2017-03-16,57.726,59.562,57.65,59.08,96258,0
2017-03-17,59.051,60.159,57.932,59.953,381462,0
2017-03-20,60.179,60.179,58.482,59.375,81143,0
2017-03-21,59.532,59.552,58.217,58.904,66741,0
2017-03-22,58.894,59.08,57.706,58.404,42666,0
2017-03-23,58.687,59.448,58.088,58.58,49797,0
2017-03-24,58.63,58.805,58.02,58.227,38676,0
2017-03-27,57.559,57.815,57.147,57.471,57780,0
2017-03-28,57.608,58.089,56.96,57.735,53467,0
2017-03-29,57.765,60.199,57.765,59.993,133510,0
2017-03-30,59.983,59.983,58.864,59.306,49715,0
2017-03-31,59.267,59.512,58.394,58.531,42347,0
2017-04-03,58.639,58.639,57.432,57.775,61539,0
2017-04-04,57.882,58.158,57.363,58.109,78872,0
2017-04-05,58.658,59.119,57.668,58.237,92755,0
2017-04-06,58.138,58.884,57.745,58.56,81296,0
2017-04-07,58.55,59.757,58.452,59.59,141591,0
2017-04-10,59.492,60.788,59.492,60.307,69638,0
2017-04-11,60.297,60.375,59.806,60.121,41520,0
2017-04-12,59.904,59.919,58.668,59.581,41969,0
2017-04-13,59.512,60.071,58.639,59.041,41688,0
2017-04-17,59.129,59.944,58.687,59.649,47829,0
2017-04-18,59.59,60.514,59.042,60.179,66057,0
2017-04-19,60.287,60.454,59.473,59.885,44322,0
2017-04-20,60.179,61.229,60.179,60.68,73918,0
2017-04-21,60.621,61.356,60.561,60.915,72961,0
2017-04-24,61.67,61.7,60.551,60.876,61531,0
2017-04-25,60.671,60.671,56.028,56.44,338380,0
2017-04-26,56.195,58.275,55.588,57.137,480748,0
2017-04-27,57.412,57.942,56.763,57.305,76238,0
2017-04-28,57.137,57.845,56.666,56.726,53878,0
2017-05-01,57,57.579,56.372,56.48,61926,0
2017-05-02,56.597,57.353,56.597,57.04,61795,0
2017-05-03,56.647,57.333,56.098,56.647,65031,0
2017-05-04,56.824,57.11,56.553,56.834,34824,0
2017-05-05,56.952,57.495,56.499,57.19,59353,0
2017-05-08,56.942,57.458,56.519,57.406,46186,0
2017-05-09,57.16,57.851,56.814,57.337,73789,0
2017-05-10,57.062,57.801,56.686,57.002,59559,0
2017-05-11,56.706,57.12,55.739,55.957,83680,0
2017-05-12,55.65,55.65,52.839,53.284,89834,0
2017-05-15,53.155,54.349,53.155,53.58,47965,0
2017-05-16,53.658,53.658,52.851,53.185,49619,0
2017-05-17,52.819,53.076,52.346,52.643,51629,0
2017-05-18,52.79,54.541,52.781,53.589,77090,0
2017-05-19,53.48,54.339,53.264,54.013,69049,0
2017-05-22,54.309,54.98,53.993,54.546,65824,0
2017-05-23,55.236,57.949,55.015,57.032,291449,0
2017-05-24,57.219,57.268,53.313,54.112,983480,0
2017-05-25,54.24,54.24,53.297,53.49,73035,0
2017-05-26,53.638,53.638,52.346,53.145,60263,0
2017-05-30,52.829,52.968,51.419,51.724,67500,0
2017-05-31,51.724,52.011,50.611,50.916,106523,0
2017-06-01,51.291,52.425,50.975,52.405,71574,0
2017-06-02,52.553,53.599,51.937,52.07,51428,0
2017-06-05,52.129,52.129,50.857,51.37,62382,0
2017-06-06,50.985,51.143,49.97,50.492,69360,0
2017-06-07,50.374,51.291,49.525,51.192,41657,0
2017-06-08,51.173,52.307,51.173,51.892,54846,0
2017-06-09,52.04,53.422,51.912,52.81,55244,0
2017-06-12,52.553,53.194,51.586,52.346,138245,0
2017-06-13,52.405,52.405,51.32,51.754,67735,0
2017-06-14,51.804,52.623,51.241,51.882,62953,0
2017-06-15,51.291,51.36,49.594,50.226,82830,0
2017-06-16,47.119,47.957,45.422,47.838,202430,0
2017-06-19,48.086,49.051,47.563,48.509,53490,0
2017-06-20,48.204,48.204,46.872,47,44207,0
2017-06-21,47.069,47.375,46.862,46.872,42215,0
2017-06-22,46.754,46.951,45.984,46.763,71690,0
2017-06-23,46.763,47.365,46.1,47.02,63933,0
2017-06-26,47.167,48.174,46.951,47.415,48548,0
2017-06-27,47.592,48.234,47.563,47.947,86764,0
2017-06-28,47.967,48.766,47.71,47.819,164250,0
2017-06-29,47.789,48.154,46.866,47.996,44298,0
2017-06-30,47.986,48.805,47.759,48.056,52415,0
2017-07-03,48.401,48.766,47.996,48.184,22932,0
2017-07-05,48.252,48.687,47.167,47.513,40973,0
2017-07-06,47.325,47.513,46.162,46.398,78582,0
2017-07-07,46.566,47.548,45.807,47.237,100211,0
2017-07-10,47.227,47.237,46.478,46.714,58956,0
2017-07-11,46.734,46.941,45.491,46.398,44753,0
2017-07-12,46.783,47.641,46.526,46.684,28497,0
2017-07-13,46.675,47.197,46.36,46.734,63994,0
2017-07-14,46.754,46.931,45.541,46.478,40114,0
2017-07-17,46.25,46.744,46.004,46.507,47817,0
2017-07-18,46.28,47.237,46.28,46.635,55854,0
2017-07-19,46.793,47.315,46.546,47.149,40815,0
2017-07-20,47.149,47.315,46.684,47.01,21685,0
2017-07-21,47.503,47.641,46.478,46.596,33494,0
2017-07-24,46.596,46.882,45.856,46.655,49011,0
2017-07-25,46.694,47.745,46.182,47.434,64708,0
2017-07-26,47.434,48.49,47.139,47.227,117449,0
2017-07-27,47.406,47.773,46.967,47.396,47726,0
2017-07-28,47.187,47.932,46.736,47.068,23758,0
2017-07-31,47.297,47.297,46.592,46.959,31276,0
2017-08-01,47.019,48.101,45.937,47.048,59275,0
2017-08-02,47.058,47.277,45.986,46.721,60173,0
2017-08-03,46.711,47.485,46.691,47.297,54540,0
2017-08-04,47.287,47.297,46.661,46.949,18996,0
2017-08-07,46.959,46.999,46.373,46.651,31053,0
2017-08-08,46.661,46.89,45.172,45.282,58082,0
2017-08-09,45.123,45.123,43.832,44.16,42694,0
2017-08-10,43.922,44.825,43.554,44.567,58144,0
2017-08-11,44.18,45.679,43.396,45.341,138717,0
2017-08-14,45.49,46.592,45.411,45.947,43190,0
2017-08-15,45.847,46.448,45.162,45.232,51123,0
2017-08-16,45.49,45.996,45.113,45.361,38002,0
2017-08-17,45.073,45.48,44.011,44.22,44356,0
2017-08-18,44.001,44.696,43.624,44.1,30558,0
2017-08-21,44.09,44.944,43.693,44.607,60517,0
2017-08-22,44.716,45.024,44.12,44.696,36960,0
2017-08-23,44.636,45.599,44.577,44.954,86533,0
2017-08-24,45.202,45.867,43.793,44.011,45700,0
2017-08-25,44.497,44.954,43.947,44.716,82966,0
2017-08-28,44.716,45.481,43.852,44.001,50293,0
2017-08-29,43.793,44.15,43.425,43.584,77725,0
2017-08-30,43.505,44.319,43.485,43.634,44487,0
2017-08-31,43.813,44.309,43.644,43.882,85621,0
2017-09-01,43.882,44.021,43.535,43.842,53037,0
2017-09-05,43.922,44.249,43.564,43.614,44154,0
2017-09-06,43.634,44.309,43.445,44.09,71145,0
2017-09-07,44.1,44.17,43.564,43.971,48062,0
2017-09-08,43.971,43.991,40.994,41.549,114351,0
2017-09-11,41.589,42.562,41.559,41.659,98267,0
2017-09-12,41.768,42.83,41.768,42.602,100369,0
2017-09-13,42.612,43.525,42.612,42.889,49915,0
2017-09-14,42.88,43.42,42.026,42.115,56322,0
2017-09-15,42.254,42.572,41.937,42.363,134829,0
2017-09-18,42.532,43.316,42.353,42.84,89615,0
2017-09-19,42.88,43.416,42.403,42.572,62072,0
2017-09-20,42.433,43.172,42.19,42.88,56684,0
2017-09-21,42.81,42.959,42.284,42.433,34182,0
2017-09-22,42.463,42.815,42.185,42.294,35552,0
2017-09-25,42.185,43.217,42.185,42.81,54632,0
2017-09-26,42.721,43.693,42.542,43.346,69446,0
2017-09-27,43.435,44.021,42.82,43.723,151315,0
2017-09-28,43.535,43.902,42.949,43.545,50596,0
2017-09-29,43.654,43.991,43.018,43.177,51056,0
2017-10-02,43.227,43.445,42.78,43.346,59060,0
2017-10-03,43.495,43.961,43.346,43.932,67420,0
2017-10-04,43.773,44.049,43.187,43.803,49632,0
2017-10-05,43.922,44.527,43.772,43.961,69140,0
2017-10-06,43.882,45.341,43.674,45.341,83421,0
2017-10-09,43.5,43.674,41.083,41.579,147379,0
2017-10-10,41.738,43.143,41.679,42.999,70931,0
2017-10-11,43.187,43.713,42.502,42.78,52549,0
2017-10-12,42.731,42.979,41.996,42.681,38427,0
2017-10-13,42.75,43.197,42.165,42.502,49005,0
2017-10-16,42.691,43.058,41.639,41.887,92389,0
2017-10-17,41.679,42.83,41.5,42.502,97886,0
2017-10-18,42.929,43.901,42.482,42.79,43439,0
2017-10-19,42.651,43.733,42.562,42.8,72349,0
2017-10-20,42.969,43.128,42.433,42.671,86563,0
2017-10-23,42.681,42.889,41.758,41.917,77702,0
2017-10-24,40.607,41.217,38.125,38.532,341749,0
2017-10-25,38.582,38.582,36.527,38.056,774527,0
2017-10-26,38.214,38.81,37.86,38.373,133562,0
2017-10-27,38.373,39.058,38.125,38.939,108742,0
2017-10-30,38.711,39.544,38.651,38.79,82864,0
2017-10-31,38.666,39.207,38.214,38.542,91738,0
2017-11-01,38.889,39.872,38.611,39.425,92279,0
2017-11-02,39.822,40.527,39.276,40.14,83889,0
2017-11-03,40.41,40.965,39.96,40.37,82006,0
2017-11-06,37.85,38.5,31.26,34,825923,0
2017-11-07,34,34.85,33.671,34.59,243263,0
2017-11-08,35.18,35.59,34.32,35,164991,0
2017-11-09,34.98,35.34,33.907,34.05,154933,0
2017-11-10,34.2,35.76,34.09,34.77,120082,0
